,State,County,aqi,ghg,income,pop,plant,weather_epa,weather_meso
1153,georgia,bartow,,1.0,1.0,1.0,1.0,,
2318,georgia,benhill,,,1.0,1.0,,,
2319,georgia,berrien,,,1.0,1.0,,,
187,georgia,bibb,1.0,1.0,1.0,1.0,1.0,,1.0
2320,georgia,bleckley,,,1.0,1.0,,,
2321,georgia,brantley,,,1.0,1.0,,,
2322,georgia,brooks,,,1.0,1.0,,,
2323,georgia,bryan,,,1.0,1.0,,,
2324,georgia,bulloch,,,1.0,1.0,,,
2325,georgia,burke,,,1.0,1.0,1.0,,
2326,georgia,butts,,,1.0,1.0,,,
2327,georgia,calhoun,,,1.0,1.0,,,
1154,georgia,camden,,1.0,1.0,1.0,1.0,,
2328,georgia,candler,,,1.0,1.0,1.0,,
1155,georgia,carroll,,1.0,1.0,1.0,,,
1156,georgia,catoosa,,1.0,1.0,1.0,,,
188,georgia,charlton,1.0,1.0,1.0,1.0,,,1.0
189,georgia,chatham,1.0,1.0,1.0,1.0,1.0,,1.0
2329,georgia,chattahoochee,,,1.0,1.0,1.0,,
190,georgia,chattooga,1.0,1.0,1.0,1.0,,,1.0
1157,georgia,cherokee,,1.0,1.0,1.0,,,
191,georgia,clarke,1.0,1.0,1.0,1.0,1.0,,1.0
2330,georgia,clay,,,1.0,1.0,1.0,,
192,georgia,clayton,1.0,1.0,1.0,1.0,,,1.0
2331,georgia,clinch,,,1.0,1.0,,,
193,georgia,cobb,1.0,1.0,1.0,1.0,1.0,,1.0
194,georgia,coffee,1.0,,1.0,1.0,,,1.0
2332,georgia,colquitt,,,1.0,1.0,,,
195,georgia,columbia,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2333,georgia,cook,,,1.0,1.0,,,
196,georgia,coweta,1.0,1.0,1.0,1.0,1.0,,1.0
2334,georgia,crawford,,,1.0,1.0,,,
1158,georgia,crisp,,1.0,1.0,1.0,,,
2335,georgia,dade,,,1.0,1.0,,,
197,georgia,dawson,1.0,,1.0,1.0,,,1.0
1159,georgia,decatur,,1.0,1.0,1.0,1.0,,
198,georgia,dekalb,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2336,georgia,dodge,,,1.0,1.0,,,
